Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OperatorSkillScore,RequiredSkillByRole
58,Yes,Non-Travel,1129,Production,25,2,Mechanical Engineering,1,1,3,Female,103,2,1,Farm Liaison Officer,4,Divorced,61848,16618,5,No,14,4,1,0,2,2,3,11,7,10,4,0.8532144580849161,0.3
48,No,Frequently,1470,Maintenance,12,2,Food Technology,1,2,2,Female,66,3,2,Farm Liaison Officer,1,Divorced,26820,19245,8,No,12,2,4,1,11,1,1,28,17,11,16,0.5414311338394098,0.3
34,No,Rarely,719,Quality Control,25,1,Biotechnology,1,3,3,Female,124,1,1,Dairy Lab Technician,3,Divorced,28512,12027,5,Yes,18,2,4,0,39,0,1,22,4,5,3,0.6402180709973806,0.55
27,Yes,Rarely,1364,Logistics,17,2,Biotechnology,1,4,3,Female,79,1,1,Dairy Quality Analyst,1,Married,56725,15986,0,No,22,4,4,2,24,1,3,20,19,9,0,0.6495302392243574,0.55
40,No,Frequently,561,Maintenance,26,1,Dairy Science,1,5,4,Male,148,3,4,Cheese Production Technician,4,Married,71534,14400,4,No,19,4,4,1,16,5,4,25,10,0,5,0.5534685879146105,0.5
58,No,Non-Travel,207,Production,46,4,Mechanical Engineering,1,6,4,Female,71,3,1,Logistics & Supply Chain Coordinator,2,Single,105151,5526,8,No,14,4,1,1,37,2,3,22,8,13,0,0.2994154308848076,0.35
38,No,Rarely,677,Farm Operations,48,2,Logistics,1,7,4,Male,92,3,4,Milk Processing Operator,3,Married,59776,13593,4,No,15,4,4,1,35,2,2,1,18,13,3,0.7262273505239094,0.45
42,No,Rarely,694,Farm Operations,14,2,Mechanical Engineering,1,8,3,Male,76,4,3,Dairy Quality Analyst,1,Divorced,80945,3622,5,Yes,12,3,3,1,35,3,3,13,11,5,1,0.6072500845864446,0.55
30,No,Rarely,1032,Production,41,3,Biotechnology,1,9,2,Female,86,4,4,Milk Processing Operator,4,Married,103420,7518,2,No,19,3,4,0,18,3,4,13,4,9,12,0.2830764306801684,0.45
30,No,Frequently,1262,Production,36,4,Logistics,1,10,1,Male,95,4,1,Dairy Quality Analyst,2,Single,67455,4657,7,No,16,4,3,0,1,5,3,3,15,1,13,0.690225378043526,0.55
43,No,Non-Travel,792,Farm Operations,23,4,Mechanical Engineering,1,11,3,Female,84,4,3,Cold Storage Supervisor,2,Divorced,103488,10699,9,No,18,4,1,0,16,2,1,16,12,10,16,0.6919342825645434,0.4
55,No,Frequently,386,Maintenance,43,3,Food Technology,1,12,4,Male,53,2,4,Packaging Machine Operator,1,Married,72433,15955,3,No,18,1,3,2,29,5,4,14,5,3,10,0.5839405122671406,0.4
59,No,Rarely,953,Farm Operations,6,3,Dairy Science,1,13,1,Male,129,1,1,Logistics & Supply Chain Coordinator,4,Married,29711,4656,3,No,23,1,1,0,9,2,2,15,15,5,2,0.2633841672040976,0.35
43,No,Non-Travel,292,Production,47,1,Mechanical Engineering,1,14,2,Female,129,3,3,Logistics & Supply Chain Coordinator,2,Single,79262,18673,4,No,24,1,4,1,34,0,4,4,17,2,6,0.4468508217957104,0.35
22,No,Frequently,285,Logistics,5,1,Mechanical Engineering,1,15,1,Female,134,1,4,Milk Processing Operator,2,Divorced,106009,7858,9,Yes,22,2,2,2,35,1,1,23,16,2,9,0.2356468753386907,0.45
